"username","status"
"PingCheck","Занято"
"SignalVerify","Свободно"
"CheckLink_bot","Занято"
"ConnectionTest","Свободно"
"LinkCheckBot","Занято"
"ghjdthef_cipher","Свободно"
"ghjdthef_secure","Свободно"
"ghjdthef_crypt","Свободно"
"SenatusConsultum_bot","Свободно"
"RomanEthicsGuide","Свободно"
"MoresMajorum","Свободно"
"PietasEtIustitia","Свободно"
"RomanaVirtus","Свободно"
"MosMaiorum_bot","Свободно"
"FreeSteppe","Свободно"
"CossackHeritage","Свободно"
"DonCossacks","Доступно для покупки"
"CossackLife","Свободно"
"WildSteppe_bot","Свободно"
"SteppeCossack","Свободно"
"Popular_Names_Bot","Свободно"
"NameGen","Свободно"
"TopNames","Занято"
"Alex_Names","Свободно"
"BestBabyNames","Свободно"
"TopNames_bot","Свободно"
"PopularNameBot","Свободно"
"EasyHardLogic","Свободно"
"MathBrainTeaser","Свободно"
"Simplex_Puzzles","Свободно"
"dfgdfg_stream","Свободно"
"dfgdgf_hub","Свободно"
"dfgdgf_data","Свободно"
"CrossCheckInfo","Свободно"
"CheckTheFacts","Занято"
"Funky","Занято"
"vapvap_rhythm_bot","Свободно"
"VapVapVibes_77","Свободно"
"vapvap_funkmaster","Свободно"
"dfgdfgd","Доступно для покупки"
"ReliableSource","Доступно для покупки"
"FactVerificationBot","Свободно"
"RealityCheckPro","Свободно"
"InfoValidator","Свободно"
"RealityCheckBot","Занято"
"why_two_bot","Свободно"
"gen2_query_bot","Свободно"
"two_not_three_bot","Свободно"
"RememberWhen_bot","Свободно"
"Back_to_the_past","Доступно для покупки"
"YesterdayOnceMore","Занято"
"WillItRepeat","Свободно"
"RememberWhen_2023","Свободно"
"BackToThePast_bot","Занято"
"SweetCocoa_LTD","Свободно"
"DarkChoc_Shop","Свободно"
"Choco_Treats","Свободно"
"SweetestChocolateTreats","Свободно"
"ChocolateHeaven_Shop","Свободно"
"Chocoholic_Delights","Свободно"
"RiddleMeOne","Свободно"
"TheOneClue","Свободно"
"SingleAnswerBot","Свободно"
"OneQuestion_bot","Занято"
"CheckMyMenu_bot","Свободно"
"FoodMenuBot","Занято"
"MenuChecker_bot","Свободно"
"FoodMenuValidator_bot","Свободно"
"RestaurantMenuBot","Занято"
"MenuCheck_bot","Свободно"
"checksdf","Свободно"
"TruthVerificationBot","Свободно"
"VerifyFacts","Занято"
"FactChecker_bot","Занято"
"VerifyThisInfo","Свободно"
"TruthVerifier","Свободно"
"QuickAsAFlash123","Свободно"
"WowSoFast_Bot","Свободно"
"Speedy_Surprise","Свободно"
"SoQuickNow","Свободно"
"Fast_Response_Bot","Занято"
"ApricotEars_bot","Свободно"
"UshastyApricotFun","Свободно"
"FluffyApricot","Свободно"
"GenTimeBot01","Свободно"
"TimestampGenerator","Свободно"
"DataCreationMark","Свободно"
"TimeGenBot","Доступно для покупки"
"GeneratedTime_stamp","Свободно"
"GeneratedTimeBot","Свободно"
"TimeStamper_123","Свободно"
"TimeGenStamp_bot","Свободно"
"Timestamper","Свободно"
"GenTimeAssistant","Свободно"
"Timestamp_Creator_bot","Свободно"
"GeneratedAtBot","Свободно"
"GenerateTimeNow","Свободно"
"TimestampBot","Занято"
"TimeGen_bot","Занято"
"HeritageScents_bot","Свободно"
"SpiritGuide1923","Свободно"
"AncestorWhispers","Свободно"
"LegacyScents","Свободно"
"AncestorSpirits","Свободно"
"VerifyFacts_bot","Свободно"
"WhispersOfThePast","Занято"
"HeritagePerfumes","Свободно"
"AncestralScents","Свободно"
"Lavender_Meow","Занято"
"VioletKitten","Занято"
"Lavender_Paws","Свободно"
"Lilac_Paws","Занято"
"VioletKitties","Свободно"
"PurpleCats","Занято"
"MyStable_bot","Занято"
"EquineStar","Свободно"
"MyStable_Life","Свободно"
"HorseRacingTips","Доступно для покупки"
"Equine_Star","Свободно"
"dfgsdgdfgdf","Свободно"
"ProjectZenith","Доступно для покупки"
"WorkFlowMaster","Свободно"
"BusyBee_Corp","Свободно"
"DailyGrindBot","Свободно"
"BusinessActive","Доступно для покупки"
"WorkingHours_bot","Занято"
"ProductivityBoost","Занято"
"Working_Hard_Bot","Занято"
"Bloodsucker_Legion","Свободно"
"Nightly_Swarm","Свободно"
"Mosquito_Nightmare","Свободно"
"Funny800Bucks","Свободно"
"EightHundredLaughs","Свободно"
"Joke800_bot","Свободно"
"JokesFor800","Свободно"
"EightHundredJokes","Свободно"
"Debug_Level_Please","Свободно"
"InfoLogKiller","Свободно"
"NoMoreInfoLogs","Свободно"
"HelpDesk_Support","Невозможно определить"
"FixItFast_bot","Невозможно определить"
"BrokenBot","Невозможно определить"
"TechHelp_Now","Невозможно определить"
"Tech_Rescue_101","Невозможно определить"
"Support_Bot_247","Невозможно определить"
"Broken_Fixer","Невозможно определить"
"QuickDash100","Невозможно определить"
"FastSprint_Bot","Невозможно определить"
"QuickDash_bot","Невозможно определить"
"FastRunner123","Невозможно определить"
"Sprint_Master","Невозможно определить"
"QuickSprint100","Невозможно определить"
"FastSprint_Pro","Невозможно определить"
"SprintBoost","Невозможно определить"
"ClayToBrick_Solutions","Невозможно определить"
"BrickProductionBot","Невозможно определить"
"BrickworksOnline","Невозможно определить"
"ClayToBricks_bot","Невозможно определить"
"BrickMaster_Corp","Невозможно определить"
"FactoryBricksBot","Невозможно определить"
"BrickMaster123","Невозможно определить"
"Brickworks_pro","Невозможно определить"
"Red_Cap_Spores","Свободно"
"Lenin_Fungus_Bot","Свободно"
"LeninMushroom_Mystic","Свободно"
"InternetSpeedChecker","Свободно"
"NetSpeedCheckBot","Занято"
"SpeedTest_Helper","Свободно"
"FastCheck_bot","Занято"
"NetSpeed_Tester","Свободно"
"SpeedCheckBot","Занято"
"InternetSpeedTest","Занято"
"MySpeedMeter","Свободно"
"SpeedCheck_Bot","Занято"
"letsdoit","Доступно для покупки"
"what_about_this","Занято"
"sdfs__dsf","Свободно"
"Checkmate_Prodigy","Свободно"
"OceanBreezes_bot","Свободно"
"MarineWeatherUpdates","Свободно"
"SeaWindForecast","Свободно"
"Joke500_bot","Свободно"
"FiftyShadesOfJokes","Свободно"
"JokesFor500","Свободно"
"FiveHundredJokes","Свободно"
"300JokesBot","Свободно"
"Joke_Master300","Свободно"
"JokesFor300","Занято"
"300_Joke_Bot","Свободно"
"ThreeHundredLaughs","Свободно"
"checkdb","Занято"
"OhMyGosh_16Pancakes","Свободно"
"Sixteen_Flipping_Fun","Свободно"
"Pancake_Panic16","Свободно"
"eleven_solution","Свободно"
"save11","Занято"
"EleventhHour_fix","Свободно"
"SafeHaven11","Занято"
"Fix11","Доступно для покупки"
"solution11","Занято"
"eleven_save","Свободно"
"fix11_bot","Занято"
"retry_99","Свободно"
"almost_same_game","Свободно"
"99_diff_bot","Свободно"
"ParallelWriteBot","Свободно"
"Record10SecDB","Свободно"
"TenSecParallel_bot","Свободно"
"rekord_98_fail_epic","Свободно"
"mega_98_jump_bot","Свободно"
"9point8_rekord_bro","Свободно"
"ApexPredatorRacing","Свободно"
"NitroBeast_7","Свободно"
"FastLap_Racer","Свободно"
"twelve_seconds","Свободно"
"fast_timer12","Свободно"
"twelveseconds","Доступно для покупки"
"12sec_timer","Свободно"
"VelocityTuning","Свободно"
"Velocity_Tweaks","Свободно"
"TurboCharger_Bot","Занято"
"SpeedBoost_Pro","Свободно"
"VerifyInfo","Свободно"
"gen_speed_checker","Свободно"
"speed_test_bot","Занято"
"FastGen_Bot","Свободно"
"GenSpeedChecker","Свободно"
"SpeedTest_bot","Занято"
"Timer14SecondsBot","Свободно"
"14SecCountdown","Свободно"
"FourteenSecondsTimer","Свободно"
"TenSecTimer","Свободно"
"QuickResponseBot","Занято"
"SpeedDemon10","Свободно"
"Fast10_sec","Свободно"
"SpeedDemon_007","Свободно"
"FastLane_Bot","Занято"
"VelocityLife","Занято"
"SpeedDemon_1","Свободно"
"Velocity_Boost","Свободно"
"FastLaneLife","Занято"
"quickquickquick","Занято"
"fastfastfast","Доступно для покупки"
"Literary_Hunter","Свободно"
"Bookworm_Reads","Занято"
"Literary_Lover13","Свободно"
"Bookworm_92","Занято"
"Literary_Addict","Свободно"
"PageTurnerBot","Занято"
"Bookworm_Chronicles","Занято"
"Gridlock_Glitch","Свободно"
"NeoTokyo_Datastream","Свободно"
"Chrome_Runner","Свободно"
"Synaptic_Streams","Свободно"
"QuantumLeap_17","Свободно"
"Future_Edu_Nexus","Свободно"
"Mysteria","Невозможно определить"
"Minima","Продано"
"Myriam_belle","Свободно"
"MistyMelody","Занято"
"M_Muse","Занято"
"Midnight_Maelstrom","Свободно"
"Mystic_Magnus","Свободно"
"Midnight_Monarch","Занято"
"Majestic_Midas","Свободно"
"GreetingBot_01","Свободно"
"Hello_WorldBot","Занято"
"WorldGreeterBot","Свободно"
"HelloWorld_Bot","Занято"
"Hello_World_Helper_bot","Свободно"
"Hello_World_Assistant","Свободно"
"HelloWorldBot","Занято"
"TinyTalkerJournal","Свободно"
"MyLittleOneSays","Свободно"
"BabyFirstWords_diary","Свободно"
"PeaceDove_7","Свободно"
"Unity_Now","Свободно"
"GlobalHarmony","Доступно для покупки"
"Peace_Maker","Занято"
"Harmony_Bot","Занято"
"WorldPeaceAdvocate","Доступно для покупки"
"PeaceMaker_Global","Свободно"
"World_Greeter_bot","Свободно"
"WorldGreeter_bot","Свободно"
"Hello_WorldBot1","Свободно"
"HelloWorld_bot","Занято"
"abstract_47","Свободно"
"unspecified_account","Свободно"
"random_user_123","Занято"
"digital_echoes","Занято"
"DigitalNomad123","Свободно"
"Abstract_Notion","Свободно"
"BusinessGrowth_Assistant","Свободно"
"Unseen_Spectre","Свободно"
"Market_Insights_Pro","Свободно"
"AbstractNotion17","Свободно"
"Profit_Growth_99","Свободно"
"Unrelated_Data","Свободно"
"SmartBizBot","Занято"
"Business_Assistant","Занято"
"RandomUser42","Занято"
"Abstract_Notion_9","Свободно"
"Random_User42","Занято"
"Abstract_Notion_42","Свободно"
"RandomDataFlow_123","Свободно"
"42_abstract_thoughts","Свободно"
"unremarkable_being","Свободно"
"random_user123","Занято"
"WorkHardPlayHarder123","Свободно"
"HappyProductivity_bot","Свободно"
"FunWorkFlow","Свободно"
"Abstract_Noise_47","Свободно"
"Unrelated_Data_Stream","Свободно"
"Random_User123","Занято"
"AbstractNotion47","Свободно"
"RandomUser_123","Занято"
"The_Bean_Show","Свободно"
"MisterBean_Jokes","Свободно"
"Bean_ComedyBot","Свободно"
"MrBean_Fun","Доступно для покупки"
"Tibi_Doh_Laughs","Свободно"
"TibidohGames_bot","Свободно"
"TibidohFun","Свободно"
"Imaginarium_Maker","Свободно"
"ArtGenFunky","Свободно"
"PixelPusher_bot","Свободно"
"Lux_Carriage","Свободно"
"EliteConvoy","Свободно"
"CortegeBusiness","Свободно"
"Sherlock_Clues","Свободно"
"Deduction_Bot","Занято"
"CaseFiles_221B","Свободно"
"SherlockHolmes_Enigma","Свободно"
"FactVerifyBot","Свободно"
"VerifyAccuracy","Свободно"
"QualityCheck_bot","Занято"
"Verification_Pro","Доступно для покупки"
"QualityControl1","Доступно для покупки"
"FactCheck_Bot","Занято"
"Repeat_The_Glory","Свободно"
"Encore_Chronicles","Свободно"
"Rewind_Epic","Свободно"
"StrictCheck_123","Свободно"
"Doc_Verification_Bot","Свободно"
"AuditControl123","Свободно"
"DocVerify_bot","Занято"
"CringePatrol_bot","Свободно"
"cringe_o_meter_420","Свободно"
"cringe_inspector_bot","Свободно"
"CringePatrol","Занято"
"CrocoMoonShine_420","Свободно"
"LunarLizardLord69","Свободно"
"Moon_Croc_Gangsta_bot","Свободно"
"MysteryBulvinkle","Свободно"
"TheBulvinkleEnigma","Свободно"
"Bulvinkle_Riddles","Свободно"
"checker","Продано"
"Style_Algorithm","Свободно"
"Apparel_Curator","Свободно"
"ClothierBot","Свободно"
"BunnyHop","Свободно"
"SpeedyHare","Свободно"
"ZipZapBunny","Свободно"
"BunnyHop_bot","Занято"
"RetroPixelRumble","Свободно"
"IndieGameGroove","Свободно"
"PixelPusher_77","Свободно"
"VerifyNow","Занято"
"TruthSeeker","Занято"
"aprapratime","Свободно"
"prapra_bot","Занято"
"a_pra_pra","Свободно"
"apra_pra","Свободно"
"vapour_synth","Свободно"
"wave_vap_bot","Свободно"
"vap_wave_beats","Свободно"
"VerifyInfo_bot","Свободно"
"TruthSeeker123","Занято"
"VerifyInfoBot","Свободно"
"Verify_Info","Свободно"
"FactCheckBot","Занято"
"TruthSeekerBot","Занято"
"VerifyThis","Занято"
"checksum","Доступно для покупки"
"task_maestro","Свободно"
"local_focus","Занято"
"RemoteAssist","Доступно для покупки"
"TechHelperBot","Занято"
"LocalSupport_bot","Занято"
"NearSource_helper","Свободно"
"CodeLocal","Свободно"
"LocalDev_bot","Занято"
"AnthemChronicles","Свободно"
"MyAudioAlchemist","Свободно"
"MelodyMaster_bot","Занято"
"EpicSoundtracks","Занято"
"LegendaryTunes","Занято"
"MyMusicalJourney","Доступно для покупки"
"EpicSoundtrack_Bot","Свободно"
"MyMusicVault","Свободно"
"TopTuneBot","Занято"
"MelodyMemories","Доступно для покупки"
"TopTune_bot","Свободно"
"SongSuggester","Свободно"
"MyMusicPlaylist","Доступно для покупки"
"AncientSecretsHunter","Свободно"
"LostChaptersBot","Свободно"
"HistoryEnigma_bot","Свободно"
"ExclusiveStyleFinds","Свободно"
"PremiumGoods_bot","Занято"
"Elite_StyleDeals","Свободно"
"LuxuryFinds_bot","Свободно"
"BrandedGoodsAdvisor","Свободно"
"AuthenticStyle_bot","Свободно"
"BrandNameHunter","Свободно"
"LuxuryHosiery_bot","Свободно"
"SilkyLegsBoutique","Свободно"
"SilkStockingsShop","Свободно"
"RatingClassifier","Свободно"
"VerifyClass","Свободно"
"CategoryChecker_bot","Свободно"
"DataClassChecker","Свободно"
"CategoryValidator_bot","Свободно"
"ProductClassificationBot","Занято"
"StrictCategoryCheck","Свободно"
"CheckCat","Свободно"
"ModCheckBot","Свободно"
"ContentVerify","Свободно"
"CheckCat_bot","Занято"
"FunkySuccess7","Свободно"
"NiceOne_bot","Занято"
"FunkyResult88","Свободно"
"NiceTry_bot","Занято"
"GroovyOutcome","Свободно"
"LegendaryNudeBot","Свободно"
"Royal_Cock_Creator","Свободно"
"EpicDickPicGenerator_bot","Свободно"
"PinkFluffyGoose_bot","Свободно"
"FluffyPinkButt_420","Свободно"
"MyLittlePinkGeese_bot","Свободно"
"Cringe","Продано"
"Data10","Занято"
"Tech4u","Доступно для покупки"
"CodeX_bot","Занято"
"PlayTime","Занято"
"Game4fun","Доступно для покупки"
"aGame_1","Свободно"
"PrecisionCheck","Свободно"
"AssuranceCheck","Свободно"
"ProductInspector","Свободно"
"TruthSerum_bot","Свободно"
"FactCheck_Flow","Свободно"
"VerifyVibes","Занято"
"FactFinder_bot","Занято"
"Check_it_quick","Свободно"
"verify4_bot","Свободно"
"check_data_bot","Занято"
"verify_4_bot","Занято"
"qatest4","Свободно"
"check_four_bot","Свободно"
"AuditControl","Свободно"
"SecureValidator","Свободно"
"FactCheck_bot","Занято"
"Precision_Verify","Свободно"
"FactCheckPro","Занято"
"**Качество:** QualityControlBot","Невозможно определить"
"CheckFacts_bot","Свободно"
"Fake","Свободно"
"IsItSafe_4u_bro","Свободно"
"DataValidator","Свободно"
"SecureVerify_bot","Занято"
"CheckAuth","Свободно"
"Auth_Guard","Свободно"
"AuthControl","Занято"
"SecureVerify","Доступно для покупки"
"CheckPoint_bot","Занято"
"checksoulmate","Свободно"
"lovemetenger","Свободно"
"PinkFeathersSecrets","Свободно"
"Flamingo_RiddleMaster","Свободно"
"PinkFlamingoEnigma","Свободно"
"DB_Audit123","Свободно"
"BaseVerifier_Bot","Свободно"
"DataCheckerPro","Свободно"
"Tetragrammaton","Доступно для покупки"
"SetupIsComplete","Свободно"
"ItWorksFinally","Свободно"
"ConfigSuccess_123","Свободно"
"HereComesTheSunShine","Свободно"
"Sunbeam_Bot","Занято"
"SunriseMelody","Занято"
"GoldenRay_Bot","Занято"
"SunShineBot","Занято"
"SunbeamMelodies","Свободно"
"SolarFlare_Alerts","Свободно"
"GoldenHourBot","Занято"
"Sunshine_Bot","Занято"
"checkbywifi","Свободно"
"MammaMia_CiaoBella","Свободно"
"MammaMia_Delizioso","Свободно"
"MammaMia_Kitchen","Свободно"
"TelegramUser","Свободно"
"EasyUsername","Занято"
"Straightforward","Доступно для покупки"
"ClearIdentity","Свободно"
"SimpleName","Занято"
"ObviousUser","Свободно"
"Queen_Live85","Свободно"
"JimiHendrix_Experience","Свободно"
"TheBeatles_1962","Свободно"
"VirtualMuse_Sales","Свободно"
"GoldenBrushGallery","Свободно"
"ArtMasterpiece_Auction","Свободно"
"Monet_Impression88","Свободно"
"RembrandtStudioPro","Свободно"
"ArtMasterpiece_1920","Свободно"
"GlobalBizSolutions","Свободно"
"RoyalTradeBot","Свободно"
"CryptoKingInvest","Занято"
"PremiumStocks_bot","Свободно"
"TopTierNames","Свободно"
"EliteHandles4Sale","Свободно"
"InstaFameSeller","Свободно"
"CryptoKing_Bot","Занято"
"Premium_Accounts","Доступно для покупки"
"Al_Farabi_Wisdom","Свободно"
"Al_Kindi_Philosopher","Свободно"
"Zeno_of_Citium_bot","Занято"
"Heraclitus_Obscurus","Свободно"
"Diogenes_Cynic","Занято"
"UnderappreciatedWisdom","Свободно"
"ForgottenThinkers_bot","Свободно"
"ObscurePhilosophers","Свободно"
"EinsteinThinker","Свободно"
"NewtonPhysics_bot","Занято"
"MarieCurieSci","Свободно"
"EinsteinQuotesBot","Свободно"
"MarieCurieBot","Занято"
"DaVinciCode_bot","Занято"
"DaVinciCodex","Занято"
"GenghisKhanBot","Занято"
"MarieCurie_Facts","Свободно"
"NewtonianPhysics","Занято"
"GenghisKhan123","Занято"
"MarieCurie_bot","Занято"
"DaVinciCode","Занято"
"Shakespeare_Bot","Занято"
"SoftIronSheets","Свободно"
"SatinSteelBot","Свободно"
"SilkParadox_bot","Свободно"
"ChallengeSolverBot","Свободно"
"CanYouDoIt_Helper","Свободно"
"DoIt4U_bot","Занято"
"CanYouDoItNow","Свободно"
"GetItDone_bot","Занято"
"ImPossibleIsNothing","Занято"
"TaskMasterBot","Занято"
"ChallengeAcceptedBot","Занято"
"CanYouDoIt_bot","Занято"
"CelestialMuse","Занято"
"HappyEarthExplorer","Свободно"
"AmazingPlanet_bot","Занято"
"WonderfulWorldBot","Занято"
"AmazingWorldExplorer","Свободно"
"WorldOfJoyBot","Свободно"
"BeautifulPlanet_bot","Занято"
"WhatAWonderfulLife","Занято"
"WonderWorldBot","Занято"
"TopLad_bot","Свободно"
"Dashing_Ace","Свободно"
"TopNotchGuy_bot","Свободно"
"ElegantGentleman","Занято"
"Mr_Handsome_bot","Занято"
"CharmingDude","Занято"
"BasicAccount","Доступно для покупки"
"User12345","Занято"
"YourProfileHere","Свободно"
"MyTelegramAccount","Занято"
"DefaultAccount","Занято"
"UserName123","Занято"
"ThisIsMe","Занято"
"YourProfile","Доступно для покупки"
"MyAccount","Занято"
"SimpleUser","Занято"
"Mozart_Maestro","Свободно"
"PinkFloydEchoes","Занято"
"ElvisPresley_Legend","Свободно"
"MichaelJacksonKing","Занято"
"RollingStonesRock","Свободно"
"Queen_Magic","Доступно для покупки"
"Beatles_Forever","Занято"
"MichaelJackson_Era","Свободно"
"ElvisPresley_Fan","Свободно"
"Queen_Unofficial","Занято"
"ClassicRockGods","Свободно"
"TheBeatlesForever","Занято"
"LegendarySingers","Свободно"
"MusicStarUpdates","Свободно"
"GlobalHitmakers","Свободно"
"TopMusicCharts","Доступно для покупки"
"Koldiri_MT","Свободно"
"Mytishchi_Legends","Свободно"
"Mytishchi_Gang","Свободно"
"NowYouCanGetIt","Свободно"
"HiddenGemsRevealed","Свободно"
"UnlockedAccess","Свободно"
"TheProductivityMyth","Свободно"
"FocusFlowState","Свободно"
"Efficiency_Paradox","Свободно"
"WorkHardPlayHarder","Занято"
"NoMoonWiFi","Свободно"
"LunarLan_bot","Свободно"
"MoonWifiCheck","Свободно"
"GenTimeValidator","Свободно"
"PollingTimeBot","Свободно"
"LocalTimeChecker","Свободно"
"TimeGenTester","Свободно"
"PollingTime_bot","Свободно"
"TimePollBot","Занято"
"LocalPollChecker","Свободно"
"LocalTimePolling","Свободно"
"GenTimeMonitor","Свободно"
"PollTimeBot","Занято"
"TimeChecker_bot","Занято"
"LocalPollTime","Свободно"
"CreationTimeBot","Свободно"
"GenTimeInspector","Свободно"
"TimeGenChecker","Свободно"
"PerformanceMonitor","Свободно"
"QualityControlBot","Занято"
"TaskValidator123","Свободно"
"WorkCheck_Pro","Свободно"
"HattedDonutCo","Свободно"
"GlazedAndHats","Свободно"
"DonutHats","Свободно"
"IsItWorkTime","Свободно"
